r,pearson_raw_hamming,spearman_raw_hamming,pearson_normalized_hamming,spearman_normalized_hamming,pearson_raw_p,spearman_raw_p
1,0.013715570930068317,0.005532342774699102,0.013715570930068319,0.005532342774699102,0.3346562089626723,0.6971729618514196
2,0.052066256373241505,0.04816057309887599,0.05206625637324151,0.04816057309887599,0.0002475838008899081,0.0007001823838026998
4,0.022323681194817906,0.022139109108256158,0.022323681194817927,0.022139109108256158,0.11631994107703,0.11937035513319166
5,0.03220427755673595,0.03243941088234795,0.03220427755673595,0.03243941088234795,0.023464415943043476,0.022469328912546948
8,0.05570299551009196,0.05223448166521518,0.05570299551009197,0.05223448166521518,8.814282500115802e-05,0.00023636018065109732
16,0.07610927743488666,0.07195585387148869,0.07610927743488664,0.07195585387148869,8.267684594210396e-08,4.023672134817714e-07
32,0.06411095297164543,0.06355589773192788,0.06411095297164542,0.06355589773192788,6.35831117304148e-06,7.642961134236144e-06
64,0.10614305644550973,0.10406927908743004,0.10614305644550968,0.10406927908743004,7.04130869615498e-14,2.135763990515213e-13
128,0.13089196830882258,0.12564010630480876,0.1308919683088226,0.12564010630480876,2.3186532822051117e-20,7.151552684439922e-19
256,0.12677628621979528,0.11908862091948372,0.12677628621979525,0.11908862091948372,3.447116220159321e-19,4.2263946482673575e-17
