r,pearson,pearson_p,spearman,spearman_p,winner_agreement,avg_hash_generation_time_sec,avg_hamming_time_sec,avg_lsh_total_time_sec,hash_bits,hash_bytes
1,0.031101928178816494,0.9159416898147006,0.07252747252747253,0.8053763135410923,0.8571428571428571,0.007827755642892953,0.006086467785702813,0.013914223428595766,16116,2014.5
2,0.2951282110321959,0.30566324801420275,0.5604395604395604,0.03710447700407433,0.8571428571428571,0.013470597714331234,0.011011891714328417,0.024482489428659653,32232,4029.0
4,0.4796718189869163,0.0826181649602703,0.389010989010989,0.16921738979769044,1.0,0.02243760042850746,0.02192668364282976,0.04436428407133722,64464,8058.0
5,0.6630812665002468,0.009742391497088408,0.39780219780219783,0.1589507745108348,1.0,0.026152255857173907,0.02654564049998953,0.05269789635716344,80580,10072.5
8,0.5425654225931897,0.04500195263065855,0.3318681318681319,0.24637718314961166,1.0,0.04001348971425094,0.04241215464285882,0.08242564435710976,128928,16116.0
16,0.34737250835753,0.22363527875657235,0.23076923076923075,0.4273358616774501,1.0,0.07392628821431961,0.08051580414287075,0.15444209235719036,257856,32232.0
32,0.5843663732204761,0.028195721091401598,0.3934065934065934,0.16403157340077784,1.0,0.14070532314284329,0.16270796792855435,0.30341329107139764,515712,64464.0
64,0.684519711396311,0.006920881979600981,0.06813186813186813,0.8169838797817922,0.8571428571428571,0.30856911721424957,0.38534819414293714,0.6939173113571867,1031424,128928.0
128,0.7099166156221451,0.004448586631604049,0.07692307692307693,0.7938058883554533,0.7142857142857143,0.5893971778573034,0.7581624629999624,1.3475596408572659,2062848,257856.0
256,0.655978712124976,0.010849808072885651,0.0945054945054945,0.7479382611415478,0.7142857142857143,1.1781853921427552,1.4879722383571854,2.6661576304999404,4125696,515712.0
