r,round,hamming_winner,euclidean_winner,same_winner
1,1,0,0,True
1,2,0,0,True
1,3,0,0,True
1,4,0,0,True
1,5,0,0,True
1,6,1,0,False
1,7,0,0,True
2,1,0,0,True
2,2,0,0,True
2,3,1,0,False
2,4,0,0,True
2,5,0,0,True
2,6,0,0,True
2,7,0,0,True
4,1,0,0,True
4,2,0,0,True
4,3,0,0,True
4,4,0,0,True
4,5,0,0,True
4,6,0,0,True
4,7,0,0,True
5,1,0,0,True
5,2,0,0,True
5,3,0,0,True
5,4,0,0,True
5,5,0,0,True
5,6,0,0,True
5,7,0,0,True
8,1,0,0,True
8,2,0,0,True
8,3,0,0,True
8,4,0,0,True
8,5,0,0,True
8,6,0,0,True
8,7,0,0,True
16,1,0,0,True
16,2,0,0,True
16,3,0,0,True
16,4,0,0,True
16,5,0,0,True
16,6,0,0,True
16,7,0,0,True
32,1,0,0,True
32,2,0,0,True
32,3,0,0,True
32,4,0,0,True
32,5,0,0,True
32,6,0,0,True
32,7,0,0,True
64,1,0,0,True
64,2,0,0,True
64,3,0,0,True
64,4,0,0,True
64,5,1,0,False
64,6,0,0,True
64,7,0,0,True
128,1,0,0,True
128,2,0,0,True
128,3,1,0,False
128,4,0,0,True
128,5,1,0,False
128,6,0,0,True
128,7,0,0,True
256,1,0,0,True
256,2,0,0,True
256,3,1,0,False
256,4,0,0,True
256,5,1,0,False
256,6,0,0,True
256,7,0,0,True
